imo,name_of_ship_ref,ship_type_ref,ship_type_group,dwt,tpc
9492737,JIA NING,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75615,68.2
9492763,LI DIAN 1,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57094,58.8
9492775,LI DIAN 2,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56928,58.8
9492787,LI DIAN 3,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56920,58.8
9492799,LI DIAN 5,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57116,58.8
9492804,LI DIAN 6,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56969,58.8
9492866,INDO PRINCESS,General Cargo Ship,"General Cargo 10,000-14,999dwt",11353,18.3
9492907,ARIADNE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57893,57.4
9492933,GRONA FALCON,Bulk Carrier,"Bulk Carrier-7,500-9,999dwt",7933,0
9493016,ALONA,Bulk Carrier,Bulk Carrier-Capesize,177944,120.6
9493028,POUNDA,Bulk Carrier,Bulk Carrier-Capesize,177897,120.6
9493054,HL TUBARAO,Ore Carrier,Bulk Carrier-VLOC,299688,167.2
9493066,HL BRAZIL,Ore Carrier,Bulk Carrier-VLOC,299688,167.2
9493092,CSB YEARS,Ore Carrier,Bulk Carrier-VLOC,315085,173.9
9493107,CSB HERALD,Ore Carrier,Bulk Carrier-VLOC,315146,173.9
9493119,CSB TALENT,Ore Carrier,Bulk Carrier-VLOC,315042,173.9
9493121,CSB PROSPERITY,Ore Carrier,Bulk Carrier-VLOC,315063,173.9
9493200,DMC NEPTUNE,Bulk Carrier,Bulk Carrier-Large Handy,28183,39.6
9493212,GOLDEN ARSENAL,Bulk Carrier,Bulk Carrier-Large Handy,28221,39.6
9493224,ST. OLGA,Bulk Carrier,Bulk Carrier-Large Handy,28202,39.7
9493236,MP SKY,Bulk Carrier,Bulk Carrier-Large Handy,28219,39.7
9493391,ZHONG HAI CHANG YUN 3,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57404,60.6
9493406,AN MIN SHAN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57652,60.6
9493418,YIN ZHI,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57000,60.6
9493420,AN QIANG SHAN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57667,60.6
9493432,XIN SHI JI 128,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57000,60.6
9493444,AN XIN SHAN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57559,60.6
9493456,YIN LIAN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57000,60.6
9493468,GUANGZHOU FA ZHAN 1,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57000,60.6
9493470,AN HUI SHAN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57668,60.6
9493482,XIN SHI JI 168,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57000,60.6
9493509,GREENTEC,Bulk Carrier,Bulk Carrier-Large Handy,33266,46.1
9493511,MAROULIO S,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75700,68.2
9493535,ISMENE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,77901,68.2
9493585,LONG MEI,Bulk Carrier,Bulk Carrier-Capesize,176000,120.8
9493597,YUE DIAN 101,Bulk Carrier,Bulk Carrier-Post Panamax,93302,80.9
9493602,GUANG ZHU,Bulk Carrier,Bulk Carrier-Post Panamax,93327,80.9
9493614,ESL SEALION,Bulk Carrier,Bulk Carrier-Capesize,175911,120.8
9493626,ESL WALRUS,Bulk Carrier,Bulk Carrier-Capesize,175931,120.8
9493638,THE FINDER,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75618,68.6
9493640,OCEAN DALIAN,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75599,68.6
9493652,CARRIE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56736,58.8
9493664,MAGIC STRIKER,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56802,58.8
9493676,ORCHARD WW,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56820,58.8
9493688,XIN HAI TONG 21,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56884,58.8
9493690,VIRTUOUS STRIKER,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56822,58.8
9493731,WAN ADVANTAGE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56803,58.8
9493743,CAPE SUPPLIER,Bulk Carrier,Bulk Carrier-Capesize,175127,120.8
9493755,ALBA,Bulk Carrier,Bulk Carrier-Capesize,175800,120.8
9493834,SHI DAI 20,Bulk Carrier,Bulk Carrier-Mini Capesize,115664,100.5
9493846,SHI DAI 21,Bulk Carrier,Bulk Carrier-Mini Capesize,115496,100.5
9493860,QUORN,Bulk Carrier,Bulk Carrier-Capesize,178005,120.6
9493872,ELOS,Bulk Carrier,Bulk Carrier-Capesize,176505,120.6
9493896,THEOSKEPASTI S,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75049,68.3
9493913,DIKEFALOS S,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75039,68.3
9493925,CHARILAOS S,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75039,68.3
9493937,MUBASYIR,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58081,57.4
9493949,NIKOLAOS A,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58133,57.4
9493951,VIET THUAN 56-03,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58089,57.4
9493963,AVENTICUM,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58087,57.4
9493975,JAHAN BROTHERS I,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58080,57.4
9493987,MOONBEAM,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58138,57.4
9493999,RANGER,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82172,70.2
9494008,VELSHEDA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82172,70.2
9494010,G PACIFIC,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58114,57.4
9494022,ABU AL ABYAD,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57369,57.3
9494034,RAS GHUMAYS - I,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57423,57.3
9494046,BUTINAH,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57347,57.3
9494058,AL YASAT- II,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57408,57.3
9494060,OMORFI,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58105,54.5
9494084,MBA FUTURE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82181,70.2
9494096,DIAMANTI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82108,70.2
9494101,VOSPOROS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82217,70.2
9494113,M EXPLORER,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82094,70.2
9494137,VIOLETTA K,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,82139,70.2
9494149,PRINCESS ERIN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57334,57.3
9494151,MING XI CHANG YANG,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57374,57.3
9494187,ASL ERA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57860,57.4
9494228,SALLY,Bulk Carrier,Bulk Carrier-Capesize,179643,123.6
9494230,SUNRISE PIONEER,Bulk Carrier,Bulk Carrier-Capesize,179788,123.6
9494242,LIBRA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56726,58.8
9494371,WU ZHU HAI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,76428,68.2
9494383,JIN ZHU HAI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,76450,68.2
9494395,YIN ZHU HAI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,76463,68.2
9494400,KIRAN EURASIA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79158,70
9494474,HAO FENG HAI,Bulk Carrier,Bulk Carrier-Supra/Ultramax,59905,57.9
9494486,ARUNA EAGLE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,59941,57.9
9494527,RMC ALTAIR,Ore Carrier,Bulk Carrier-VLOC,250759,171.2
9494644,OCEAN BRIGHT,General Cargo Ship,"General Cargo 5,000-9,999 dwt",7127,0
9494694,RMC RIGEL,Ore Carrier,Bulk Carrier-VLOC,250769,171.2
9494747,NAVI LYRA,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",33271,46.7
9494814,TRUE PRESTIGE,Bulk Carrier,Bulk Carrier-Large Handy,32077,45.1
9494864,CONFIDENCE,Cement Carrier,,15224,0
9494931,TOKUYAMA NO. 3,Cement Carrier,,1999,0
9495064,CHINA ENERGY,Bulk Carrier,Bulk Carrier-Mini Capesize,114601,103.6
9495076,OCEAN ENERGY,Bulk Carrier,Bulk Carrier-Mini Capesize,115000,103.6
9495363,21 HONOR,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",37155,45.6
9495387,ALEXANDRA P,Bulk Carrier,Bulk Carrier-Capesize,181255,125
9495404,PRINCESS KELLY,Bulk Carrier,Bulk Carrier-Capesize,181500,125
9495416,NORMA OCEAN,Bulk Carrier,Bulk Carrier-Capesize,181488,125
9495583,BOLTEN PANORAMA,General Cargo Ship (Open Hatch),"General Cargo 20,000-29,999dwt",25010,36.3
9495595,SIDER LUCK,General Cargo Ship (Open Hatch),"General Cargo 20,000-29,999dwt",26307,36.3
9495612,CHELSEA-1,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6135,0
9495715,AGONISTIS,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58399,59
9495727,BAO VOYAGE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58398,59.1
9495923,PELICAN ARROW,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",62942,59.2
9495935,ORION,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",51679,54.8
9495947,GLOBAL TOMORROW,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",51703,54.8
9495959,GLOBAL ROSE,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",51661,54.8
9496135,JAG RADHA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58133,57.4
9496147,GHARAPURI ISLAND,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57978,57.4
9496161,V TAURUS,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",33193,46.5
9496173,GEM STAR,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",33171,46.5
9496185,KERASIA S,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",33170,46.5
9496202,HORIZON VEGA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58129,57.4
9496214,GRANDE ISLAND,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58110,57.4
9496226,NAVIOS CELESTIAL,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58063,57.4
9496238,NAVIOS CHRISTINE B,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58058,57.4
9496252,SOLINA,Bulk Carrier,Bulk Carrier-Large Handy,30182,40.3
9496264,MAMRY,Bulk Carrier,Bulk Carrier-Large Handy,30206,40.3
9496276,MONTREUX,Bulk Carrier,Bulk Carrier-Large Handy,32252,46
9496329,REKAPEX,Bulk Carrier,Bulk Carrier-Large Handy,36895,48.8
9496331,CAPE GEORGE,Bulk Carrier,Bulk Carrier-Large Handy,35996,48.8
9496343,STARLIGHT TRADER,Bulk Carrier,Bulk Carrier-Large Handy,35036,48.8
9496408,PACIFIC JOY,General Cargo Ship,"General Cargo 10,000-14,999dwt",11630,19.9
9496472,HENG SHUN,Bulk Carrier,Bulk Carrier-Newcastlemax,207941,140.5
9496630,FLAG TOM,Bulk Carrier,Bulk Carrier-Post Panamax,93268,80.9
9496642,FLAG HOPE,Bulk Carrier,Bulk Carrier-Post Panamax,93242,80.9
9496654,PHC GLORY,General Cargo Ship,"General Cargo 10,000-14,999dwt",10034,17
9496666,MDC16,General Cargo Ship,"General Cargo 10,000-14,999dwt",10062,17
9496678,W-MAYFAIR,Bulk Carrier,Bulk Carrier-Post Panamax,93260,80.9
9496680,POS LOGISTICS 1,Bulk Carrier,Bulk Carrier-Post Panamax,93226,80.9
9496836,ZENITH QUEEN,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6719,0
9496848,ZENITH AURORA,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6719,0
9496874,PRINCE KHALED,Bulk Carrier,"Bulk Carrier-7,500-9,999dwt",8000,0
9496886,HOUEI PHOENIX,Bulk Carrier,"Bulk Carrier-7,500-9,999dwt",8000,0
9496939,LANNA NAREE,Bulk Carrier,Bulk Carrier-Large Handy,33843,48.5
9496941,LATIKA NAREE,Bulk Carrier,Bulk Carrier-Large Handy,33869,48.5
9496977,BULK FRIENDSHIP,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58738,59.5
9496989,ALBION BAY,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58755,59.5
9497000,SACURA,Bulk Carrier,Bulk Carrier-Small Handy,13050,24.8
9497050,XING SHENG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75725,68.6
9497062,XING HONG,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75619,68.6
9497074,ZHONG XIN 8,Aggregates Carrier,,1562,0
9497086,CHRYSANTHE,Bulk Carrier,Bulk Carrier-Large Handy,32527,42.6
9497098,NANJING EXPRESS,Wood Chips Carrier,Bulk Carrier-Pmax/Kamsarmax,70475,72.9
9497115,LOURA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56812,58.8
9497165,REA,Bulk Carrier,Bulk Carrier-Large Handy,32755,46
9497177,AL ATHFAR,Bulk Carrier,Bulk Carrier-Large Handy,32691,46
9497206,MAGSENGER 1,Bulk Carrier,Bulk Carrier-Mini Capesize,115581,100.5
9497218,MAGSENGER 2,Bulk Carrier,Bulk Carrier-Mini Capesize,115581,100.5
9497220,MAGSENGER 3,Bulk Carrier,Bulk Carrier-Mini Capesize,115401,100.5
9497232,MAGSENGER 6,Bulk Carrier,Bulk Carrier-Mini Capesize,115629,100.5
9497244,MAGSENGER 8,Bulk Carrier,Bulk Carrier-Mini Capesize,115455,100.5
9497256,MAGSENGER 9,Bulk Carrier,Bulk Carrier-Mini Capesize,115406,100.5
9497268,MAGSENGER 10,Bulk Carrier,Bulk Carrier-Mini Capesize,115301,100.5
9497270,MAGSENGER 11,Bulk Carrier,Bulk Carrier-Mini Capesize,115455,100.5
9497282,MAGSENGER 12,Bulk Carrier,Bulk Carrier-Mini Capesize,115305,100.5
9497294,MAGSENGER 16,Bulk Carrier,Bulk Carrier-Mini Capesize,115483,100.5
9497309,MAGSENGER 18,Bulk Carrier,Bulk Carrier-Mini Capesize,115483,100.5
9497311,MAGSENGER 19,Bulk Carrier,Bulk Carrier-Mini Capesize,115396,100.5
9497323,FULMAR S,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79403,71.9
9497335,FER 610,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79508,70.3
9497359,BERGE HOVERLA,Bulk Carrier,Bulk Carrier-Capesize,175918,120.6
9497361,BULK NORWAY,Bulk Carrier,Bulk Carrier-Capesize,175835,120.8
9497373,XINHUI EXPRESS,Wood Chips Carrier,Bulk Carrier-Pmax/Kamsarmax,70060,72.9
9497385,GOLDEN WAVE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79366,70
9497397,SKOPELOS I,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79659,70
9497402,SKIATHOS,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79412,70
9497414,VENETIA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56755,58.8
9497426,MEDWAY SPIRIT,Bulk Carrier,Bulk Carrier-Large Handy,31754,42.6
9497438,DIAS WELL,Bulk Carrier,Bulk Carrier-Large Handy,31728,42.6
9497440,GOLDEN NOUR,Bulk Carrier,Bulk Carrier-Large Handy,31780,42.6
9497452,NJ CALLISTO,Bulk Carrier,Bulk Carrier-Large Handy,31796,42.6
9497464,WHALE SHARK,General Cargo Ship,"General Cargo =>30,000dwt",33422,44.3
9497476,SHUN AN,Bulk Carrier,Bulk Carrier-Large Handy,30116,42.6
9497488,LOYALTY,Bulk Carrier,Bulk Carrier-Large Handy,29966,42.6
9497490,HUA YANG MEI GUI,Bulk Carrier,Bulk Carrier-Large Handy,29974,42.6
9497505,HG PERTH,Bulk Carrier,Bulk Carrier-Large Handy,29966,42.6
9497517,AMITY,Bulk Carrier,Bulk Carrier-Large Handy,29996,42.6
9497529,FAITH,Bulk Carrier,Bulk Carrier-Large Handy,28414,42.6
9497579,STAR TEMBU,Bulk Carrier,Bulk Carrier-Mini Capesize,115259,103.6
9497581,HUA SI YUAN,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79441,70
9497593,ZHONG GANG SHI JI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79482,70
9497622,NEW VENTURE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79415,70
9497830,SPAR CORONA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58018,59.2
9497842,ANNA-THERESA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58018,59.2
9497854,HELENA K,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56868,58.8
9497866,HABCO CARINA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57000,58.8
9497878,WL PACIFIC,Bulk Carrier,Bulk Carrier-Large Handy,33466,50.7
9497880,ATHENA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57809,59.2
9498054,WINNING RICH,Bulk Carrier,Bulk Carrier-Capesize,179221,124.7
9498224,CAPE,Bulk Carrier,Bulk Carrier-Large Handy,31639,39.6
9498236,SUNDA,Bulk Carrier,Bulk Carrier-Large Handy,30692,41.5
9498248,LYULIN,Bulk Carrier,Bulk Carrier-Large Handy,30686,39.6
9498250,OSOGOVO,Bulk Carrier,Bulk Carrier-Large Handy,30693,39.6
9498262,BELASITZA,Bulk Carrier,Bulk Carrier-Large Handy,30696,39.6
9498274,RODOPI,Bulk Carrier,Bulk Carrier-Large Handy,30680,39.6
9498286,OCCITAN PESSAC,Bulk Carrier,Bulk Carrier-Large Handy,34570,47.4
9498298,HASOONLIT,Bulk Carrier,Bulk Carrier-Large Handy,34627,47.4
9498303,STAR EXPLORER,Bulk Carrier,Bulk Carrier-Large Handy,34569,47.4
9498315,LILA II,Bulk Carrier,Bulk Carrier-Large Handy,34604,47.4
9498327,HENG LONG,Bulk Carrier,Bulk Carrier-Newcastlemax,207900,140.5
9498365,AAL SINGAPORE,General Cargo Ship,"General Cargo =>30,000dwt",32134,48.3
9498377,AAL SHANGHAI,General Cargo Ship,"General Cargo =>30,000dwt",32106,48.3
9498432,TINA S,Bulk Carrier,Bulk Carrier-Large Handy,34690,48.9
9498468,AAL HONG KONG,General Cargo Ship,"General Cargo =>30,000dwt",32124,48.3
9498470,AAL DALIAN,General Cargo Ship,"General Cargo =>30,000dwt",32190,48.3
9498482,BAHRI DIRIYAH,General Cargo Ship,"General Cargo =>30,000dwt",32241,48.3
9498559,ALIKI FORCE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58419,59
9498561,AMILLA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58444,59.1
9498626,REK ELITE,Bulk Carrier,Bulk Carrier-Large Handy,34707,48.9
9498705,GREY WHALE,Bulk Carrier,Bulk Carrier-Post Panamax,93143,80.9
9498717,XIN E,Bulk Carrier,Bulk Carrier-Post Panamax,92974,80.9
9498729,XIE HAI LAN SHENG,Bulk Carrier,Bulk Carrier-Post Panamax,93076,80.9
9498731,XIANG MING YANG,Bulk Carrier,Bulk Carrier-Post Panamax,92859,80.9
9498781,NAVIOS STELLAR,Bulk Carrier,Bulk Carrier-Capesize,169001,117.4
9498810,THASSOS WARRIOR,Bulk Carrier,Bulk Carrier-Post Panamax,93243,80.8
9498822,MASTRO MICHAEL,Bulk Carrier,Bulk Carrier-Post Panamax,93312,80.8
9498834,TRAMONTANA,Bulk Carrier,Bulk Carrier-Post Panamax,93246,80.8
9498846,CORNELIE OLDENDORFF,Bulk Carrier,Bulk Carrier-Post Panamax,93246,80.8
9498860,SHUN CHANG,Bulk Carrier,Bulk Carrier-Post Panamax,93322,80.9
9498872,TAI CHANG,Bulk Carrier,Bulk Carrier-Post Panamax,93296,80.9
9498884,ULUSOY 9,Bulk Carrier,Bulk Carrier-Small Handy,11853,24.4
9498896,ALBERT OLDENDORFF,Bulk Carrier,Bulk Carrier-Post Panamax,93272,80.9
9498901,THALIA,Bulk Carrier,Bulk Carrier-Post Panamax,93282,80.9
9498925,SEAGLASS II,Bulk Carrier,Bulk Carrier-Large Handy,29124,40.7
9498937,ARGENMAR MISTRAL,Bulk Carrier,Bulk Carrier-Large Handy,29130,40.7
9499084,GLORIOSA LILY,Bulk Carrier,Bulk Carrier-Mini Capesize,119488,95.7
9499424,LADY MARGARET,Bulk Carrier,Bulk Carrier-Large Handy,31864,45.1
9499436,ORCUN C,Bulk Carrier,Bulk Carrier-Large Handy,33358,45.1
9499448,OBE HEART,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",32964,46.7
9499450,ERACLE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58018,59.2
9499462,ENDLESS HORIZON,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58018,59.2
9499618,MBS BULELENG,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57005,58.8
9499723,NACC NEWYORKER,Cement Carrier,,28300,0
9499735,HAVELLAND,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6052,0
9499931,ROZ Y,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8810,0
9499955,KSL GOLDEN,General Cargo Ship,"General Cargo 10,000-14,999dwt",14384,22
9499967,SN LUMINA,General Cargo Ship,"General Cargo 10,000-14,999dwt",11878,20
9500039,BULK ORIANNA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56155,55.8
9500041,RB DYLAN,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56129,55.8
9500053,UML VICTORIA,General Cargo Ship,"General Cargo 10,000-14,999dwt",12342,26.8
9500065,BOCS PASSION,General Cargo Ship,"General Cargo 10,000-14,999dwt",12337,26.8
9500077,UML VALENTINA,General Cargo Ship,"General Cargo 10,000-14,999dwt",12349,26.8
9500089,UML VERONICA,General Cargo Ship,"General Cargo 10,000-14,999dwt",12325,26.8
9500091,CLIPPER BAROLO,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58444,59.1
9500106,CLIPPER BRUNELLO,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58433,59.1
9500261,PRINCESS GRACE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75700,68.6
9500273,KATERINA III,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75700,68.6
9500285,HC VICTORY,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75700,68.6
9500297,AGIA YPOMONI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75700,68.6
9500302,VINCA,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75700,68.6
9500314,HC GLORY,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75700,68.2
9500584,ANIMA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,55733,55.8
9500625,WINNING PEACE,Bulk Carrier,Bulk Carrier-Capesize,180725,124
9500637,NAVIOS LUMEN,Bulk Carrier,Bulk Carrier-Capesize,180661,124
9500663,ST GEORGE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57959,57.4
9500675,BULK HONDURAS,Bulk Carrier,Bulk Carrier-Supra/Ultramax,57959,57.4
9500687,STELLA L,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58096,57.4
9500699,PROPEL FORTUNE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58168,57.4
9500704,ASL CLASSIC 1,Bulk Carrier,Bulk Carrier-Capesize,180643,120
9500742,PRINCESS PEARL,Bulk Carrier,Bulk Carrier-Capesize,180643,120
9500754,CAPE PEREGRINE,Bulk Carrier,Bulk Carrier-Capesize,180643,120
9500766,ASL OTSL 2,Bulk Carrier,Bulk Carrier-Capesize,180643,120
9500807,GRUAUD LAROSE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56729,58.8
9500819,LASCOMBES,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56801,58.8
9500821,XIN HAI TONG 67,Bulk Carrier,Bulk Carrier-Supra/Ultramax,56729,58.8
9500883,HONG YUAN,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,76574,68.6
9500948,YONG HAI 9,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75486,68.6
9500950,XIN HAI,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,75380,68.6
9500986,NAVIOS FULVIA,Bulk Carrier,Bulk Carrier-Capesize,179263,122.6
9501071,PELOPIDAS,Bulk Carrier,Bulk Carrier-Capesize,176006,120.8
9501215,ELENA,Bulk Carrier,Bulk Carrier-Small Handy,24968,35
9501241,BBC MICHIGAN,General Cargo Ship,"General Cargo 10,000-14,999dwt",12768,25.5
9501253,SIVUMUT,General Cargo Ship,"General Cargo 10,000-14,999dwt",12747,25.6
9501265,BBC OREGON,General Cargo Ship,"General Cargo 10,000-14,999dwt",12660,25.5
9501277,BBC VIRGINIA,General Cargo Ship,"General Cargo 10,000-14,999dwt",12657,25.5
9501497,AIPOS,Bulk Carrier,Bulk Carrier-Capesize,180353,124.3
9501605,NAVIOS SYMPHONY,Bulk Carrier,Bulk Carrier-Capesize,178132,120.6
9501617,RIO DULCE,Bulk Carrier,Bulk Carrier-Capesize,178076,120.6
9501655,BBC BELEM,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8129,0
9501667,BBC BALBOA,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8089,0
9501679,LONGDAWN,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8250,0
9501681,MILA,General Cargo Ship,"General Cargo 5,000-9,999 dwt",8227,0
9501851,GIANT ACE,Bulk Carrier,Bulk Carrier-Capesize,179184,124.7
9501863,CAROLINE,General Cargo Ship,"General Cargo 10,000-14,999dwt",10124,26.4
9501875,HILKE,General Cargo Ship,"General Cargo 10,000-14,999dwt",10052,26.4
9501887,ANNA,General Cargo Ship,"General Cargo 10,000-14,999dwt",10041,26.4
9501899,IMKE,General Cargo Ship,"General Cargo 5,000-9,999 dwt",9962,26.4
9502312,GREEN MOUNTAIN,General Cargo Ship,"General Cargo =>30,000dwt",37511,53.8
9502336,SAGA FREYA,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",55807,54
9502348,SAGA FLORA,General Cargo Ship (Open Hatch),"General Cargo =>30,000dwt",55807,54
9502362,LACTA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,58713,59.5
9502568,YILDIZLAR 4,Wood Chips Carrier,Bulk Carrier-Handymax,49775,58.1
9502570,BRILLIANT EXPRESS,Wood Chips Carrier,Bulk Carrier-Handymax,49802,58.1
9502582,AQUA VENTURE,Bulk Carrier,Bulk Carrier-Capesize,180300,124.3
9502594,NEW EXCELLENCE,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79449,71.9
9502609,SWIFT HANGZHOU,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79343,71.9
9502611,SWIFT YANGZHOU,Bulk Carrier,Bulk Carrier-Pmax/Kamsarmax,79489,71.9
